state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
Andhra Pradesh,aruku,KISHORE CHANDRA DEO,M,72,ST,TDP,Bicycle,336163,1938,338101,1451418
Andhra Pradesh,aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,54,ST,BJP,Lotus,17578,289,17867,1451418
Andhra Pradesh,aruku,GODDETI. MADHAVI,F,26,ST,YSRCP,Ceiling Fan,557561,4629,562190,1451418
Andhra Pradesh,aruku,SHRUTI DEVI VYRICHERLA,F,46,ST,INC,Hand,17656,74,17730,1451418
Andhra Pradesh,aruku,GANGULAIAH VAMPURU.,M,49,ST,JnP,Glass Tumbler,42245,549,42794,1451418
Andhra Pradesh,aruku,SWAMULA. SUBRAHMANYAM,M,50,ST,JAJGP,Mike,4705,5,4710,1451418
Andhra Pradesh,aruku,ANUMULA VAMSIKRISHNA,M,41,ST,IND,Helicopter,10211,29,10240,1451418
Andhra Pradesh,aruku,KANGALA BALUDORA,M,61,ST,IND,Cup & Saucer,13810,16,13826,1451418
Andhra Pradesh,aruku,NARAVA SATYAVATHI,F,37,ST,IND,Bangles,11231,5,11236,1451418
Andhra Pradesh,aruku,BIDDIKA RAMAYYA.,M,57,ST,IND,Battery Torch,7863,4,7867,1451418
Andhra Pradesh,aruku,NOTA,0,0,0,NOTA,NOTA,47955,22,47977,1451418
Andhra Pradesh,srikakulam,KINJARAPU RAM MOHAN NAIDU,M,32,GEN,TDP,Bicycle,529213,5331,534544,1553860
Andhra Pradesh,srikakulam,DOLA JAGAN,M,53,GEN,INC,Hand,13456,289,13745,1553860
Andhra Pradesh,srikakulam,DUVVADA SRINIVAS,M,52,GEN,YSRCP,Ceiling Fan,520931,6960,527891,1553860
Andhra Pradesh,srikakulam,PERLA SAMBA MURTHY,M,58,GEN,BJP,Lotus,7357,1033,8390,1553860
Andhra Pradesh,srikakulam,MATTA SATISH CHAKRAVARTHY,M,37,GEN,PPOI,FLUTE,1441,7,1448,1553860
Andhra Pradesh,srikakulam,METTA RAMARAO,M,53,GEN,JnP,Glass Tumbler,31319,637,31956,1553860
Andhra Pradesh,srikakulam,NAMBALLA KRISHNA MOHAN,M,44,GEN,IND,Electric Pole,4829,7,4836,1553860
Andhra Pradesh,srikakulam,NAIDUGARI RAJASEKHAR,M,35,GEN,IND,Helicopter,5151,5,5156,1553860
Andhra Pradesh,srikakulam,BETHA VIVEKANANDA MAHARAJ,M,33,GEN,IND,Football,3814,4,3818,1553860
Andhra Pradesh,srikakulam,NOTA,0,0,0,NOTA,NOTA,25500,45,25545,1553860
Andhra Pradesh,vizianagaram,Ashok Gajapathi Raju Pusapati,M,67,GEN,TDP,Bicycle,527307,3075,530382,1503980
Andhra Pradesh,vizianagaram,Adiraju Yedla,M,52,GEN,INC,Hand,15607,118,15725,1503980
Andhra Pradesh,vizianagaram,Bellana Chandra Sekhar,M,57,GEN,YSRCP,Ceiling Fan,573466,4952,578418,1503980
Andhra Pradesh,vizianagaram,Sanyasi Raju Pakalapati,M,60,GEN,BJP,Lotus,6902,364,7266,1503980
Andhra Pradesh,vizianagaram,P.V.A. Ananda Sagar,M,55,GEN,SAPRP,Electric Pole,4981,2,4983,1503980
Andhra Pradesh,vizianagaram,Chiranjeevi Lingala,M,28,GEN,ACP,Tooth Brush,1261,2,1263,1503980
Andhra Pradesh,vizianagaram,Mukka Srinivas Rao,M,39,GEN,JnP,Glass Tumbler,33779,413,34192,1503980
Andhra Pradesh,vizianagaram,Lagudu. Govinda Rao,M,39,GEN,JAJGP,Mike,787,4,791,1503980
Andhra Pradesh,vizianagaram,Surya Bhavani. K,F,38,GEN,PPOI,FLUTE,822,8,830,1503980
Andhra Pradesh,vizianagaram,Yella Rao Siyyadula,M,37,SC,IND,Gas Cylinder,1010,0,1010,1503980
Andhra Pradesh,vizianagaram,Dhanalakoti Ramana,M,29,GEN,IND,Matchbox,1172,4,1176,1503980
